fecha,serie,valor
2010-01-01,Cartera irregular total,4.728069001204374
2010-02-01,Cartera irregular total,4.645705688754574
2010-03-01,Cartera irregular total,4.411004184938255
2010-04-01,Cartera irregular total,4.266324576977487
2010-05-01,Cartera irregular total,4.192495955543773
2010-06-01,Cartera irregular total,3.859306639647115
2010-07-01,Cartera irregular total,3.8378460542768056
2010-08-01,Cartera irregular total,3.6790608370780213
2010-09-01,Cartera irregular total,3.4380570640097265
2010-10-01,Cartera irregular total,3.3258442211867396
2010-11-01,Cartera irregular total,3.171966664485916
2010-12-01,Cartera irregular total,2.9558778803398167
2011-01-01,Cartera irregular total,2.8977118966675994
2011-02-01,Cartera irregular total,2.7974394216096115
2011-03-01,Cartera irregular total,2.67058603541141
2011-04-01,Cartera irregular total,2.6175572329164654
2011-05-01,Cartera irregular total,2.6126789109306863
2011-06-01,Cartera irregular total,2.5171175257257037
2011-07-01,Cartera irregular total,2.444376014207484
2011-08-01,Cartera irregular total,2.3465841772771743
2011-09-01,Cartera irregular total,2.2368529468915748
2011-10-01,Cartera irregular total,2.2331513113641113
2011-11-01,Cartera irregular total,2.1889976037808316
2011-12-01,Cartera irregular total,2.1603305590561126
2012-01-01,Cartera irregular total,2.2598166060524822
2012-02-01,Cartera irregular total,2.3652884890861663
2012-03-01,Cartera irregular total,2.417665375635554
2012-04-01,Cartera irregular total,2.6126777119924176
2012-05-01,Cartera irregular total,2.7306994582364292
2012-06-01,Cartera irregular total,2.6364803169138926
2012-07-01,Cartera irregular total,2.705723842652873
2012-08-01,Cartera irregular total,2.7143495523236174
2012-09-01,Cartera irregular total,2.6604601609683565
2012-10-01,Cartera irregular total,2.7161876877239406
2012-11-01,Cartera irregular total,2.6961268626566843
2012-12-01,Cartera irregular total,2.760742828704751
2013-01-01,Cartera irregular total,2.8240893320921274
2013-02-01,Cartera irregular total,2.946232260960683
2013-03-01,Cartera irregular total,2.899709722411617
2013-04-01,Cartera irregular total,2.9861385407448684
2013-05-01,Cartera irregular total,3.0485949937189614
2013-06-01,Cartera irregular total,3.0583701303390143
2013-07-01,Cartera irregular total,3.0182218980091435
2013-08-01,Cartera irregular total,3.022294870212058
2013-09-01,Cartera irregular total,2.8690629290340395
2013-10-01,Cartera irregular total,2.775949021100293
2013-11-01,Cartera irregular total,2.7158880308570508
2013-12-01,Cartera irregular total,2.6187042867408636
2014-01-01,Cartera irregular total,2.6275321108861123
2014-02-01,Cartera irregular total,2.7675427084505397
2014-03-01,Cartera irregular total,2.846967051566579
2014-04-01,Cartera irregular total,2.987218325872852
2014-05-01,Cartera irregular total,3.17663080526649
2014-06-01,Cartera irregular total,3.2013319265650964
2014-07-01,Cartera irregular total,3.227540718738858
2014-08-01,Cartera irregular total,3.3375199421472685
2014-09-01,Cartera irregular total,3.1952326366095387
2014-10-01,Cartera irregular total,3.091556020658751
2014-11-01,Cartera irregular total,3.098639729103099
2014-12-01,Cartera irregular total,2.961926537101336
2015-01-01,Cartera irregular total,2.9899321681376323
2015-02-01,Cartera irregular total,2.944178423537573
2015-03-01,Cartera irregular total,2.906330484247803
2015-04-01,Cartera irregular total,2.945860470072302
2015-05-01,Cartera irregular total,2.9474793287199335
2015-06-01,Cartera irregular total,2.8237272840248244
2015-07-01,Cartera irregular total,2.7395145632941906
2015-08-01,Cartera irregular total,2.6471751868730933
2015-09-01,Cartera irregular total,2.488650991239653
2015-10-01,Cartera irregular total,2.4047595128233197
2015-11-01,Cartera irregular total,2.370633163073815
2015-12-01,Cartera irregular total,2.3046270615349567
2016-01-01,Cartera irregular total,2.413794555969887
