variable,referencia,fecha,valor
Precios minoristas (IPC nivel general-GBA; INDEC),var. % mensual,2016-07-31,2.2
Precios minoristas (IPC nivel general; INDEC),var. % mensual,2016-07-31,2.2
Tasa de política monetaria (Lebac),TNA; %,2016-07-31,29.0
Tipo de cambio nominal,$/USD,2016-07-31,15.0
Precios minoristas (IPC nivel general-GBA; INDEC),var. % mensual,2016-08-31,2.0
Precios minoristas (IPC nivel general; INDEC),var. % mensual,2016-08-31,2.0
Tasa de política monetaria (Lebac),TNA; %,2016-08-31,29.0
Tipo de cambio nominal,$/USD,2016-08-31,15.2
Tipo de cambio nominal,$/USD,2016-09-30,15.3
Tasa de política monetaria (Lebac),TNA; %,2016-09-30,27.0
Precios minoristas (IPC núcleo-GBA; INDEC),var. % mensual,2016-09-30,1.7
Precios minoristas (IPC nivel general-GBA; INDEC),var. % mensual,2016-09-30,1.3
Precios minoristas (IPC nivel general; INDEC),var. % mensual,2016-09-30,1.6
Precios minoristas (IPC nivel general-GBA; INDEC),var. % mensual,2016-10-31,2.0
Precios minoristas (IPC núcleo-GBA; INDEC),var. % mensual,2016-10-31,1.5
Precios minoristas (IPC nivel general; INDEC),var. % mensual,2016-10-31,1.7
Tasa de política monetaria (Lebac),TNA; %,2016-10-31,26.0
Tipo de cambio nominal,$/USD,2016-10-31,15.5
Tipo de cambio nominal,$/USD,2016-11-30,15.4
Tasa de política monetaria (Lebac),TNA; %,2016-11-30,26.0
Precios minoristas (IPC núcleo-GBA; INDEC),var. % mensual,2016-11-30,1.5
Precios minoristas (IPC nivel general-GBA; INDEC),var. % mensual,2016-11-30,1.6
Precios minoristas (IPC nivel general; INDEC),var. % mensual,2016-11-30,1.6
Precios minoristas (IPC nivel general-GBA; INDEC),var. % mensual,2016-12-31,1.7
Precios minoristas (IPC núcleo-GBA; INDEC),var. % mensual,2016-12-31,1.5
Precios minoristas (IPC nivel general; INDEC),var. % mensual,2016-12-31,1.6
Tasa de política monetaria (Lebac),TNA; %,2016-12-31,24.0
Tipo de cambio nominal,$/USD,2016-12-31,15.8
Precios minoristas (IPC nivel general; INDEC),var. % mensual,2017-01-31,1.7
Tipo de cambio nominal,$/USD,2017-01-31,16.1
Tasa de política monetaria (Pase 7 días),TNA; %,2017-01-31,23.8
Precios minoristas (IPC núcleo-GBA; INDEC),var. % mensual,2017-01-31,1.5
Precios minoristas (IPC nivel general-GBA; INDEC),var. % mensual,2017-01-31,1.7
Precios minoristas (IPC nivel general-GBA; INDEC),var. % mensual,2017-02-28,1.8
Precios minoristas (IPC núcleo-GBA; INDEC),var. % mensual,2017-02-28,1.5
Precios minoristas (IPC nivel general; INDEC),var. % mensual,2017-02-28,1.7
Tasa de política monetaria (Pase 7 días),TNA; %,2017-02-28,24.3
Tipo de cambio nominal,$/USD,2017-02-28,16.2
Tipo de cambio nominal,$/USD,2017-03-31,15.9
Precios minoristas (IPC nivel general; INDEC),var. % mensual,2017-03-31,1.7
Tasa de política monetaria (Pase 7 días),TNA; %,2017-03-31,24.8
Precios minoristas (IPC nivel general-GBA; INDEC),var. % mensual,2017-03-31,1.8
Precios minoristas (IPC núcleo-GBA; INDEC),var. % mensual,2017-03-31,1.5
Precios minoristas (IPC nivel general-GBA; INDEC),var. % mensual,2017-04-30,1.9
Precios minoristas (IPC núcleo-GBA; INDEC),var. % mensual,2017-04-30,1.5
Precios minoristas (IPC nivel general; INDEC),var. % mensual,2017-04-30,1.8
Tasa de política monetaria (Pase 7 días),TNA; %,2017-04-30,24.8
Tipo de cambio nominal,$/USD,2017-04-30,15.6
Precios minoristas (IPC nivel general; INDEC),var. % mensual,2017-05-31,1.6
Tipo de cambio nominal,$/USD,2017-05-31,15.6
Tasa de política monetaria (Pase 7 días),TNA; %,2017-05-31,26.2
Precios minoristas (IPC núcleo-GBA; INDEC),var. % mensual,2017-05-31,1.5
Precios minoristas (IPC nivel general-GBA; INDEC),var. % mensual,2017-05-31,1.6
Precios minoristas (IPC nivel general-GBA; INDEC),var. % mensual,2017-06-30,1.5
Precios minoristas (IPC núcleo-GBA; INDEC),var. % mensual,2017-06-30,1.4
Precios minoristas (IPC nivel general; INDEC),var. % mensual,2017-06-30,1.5
Tasa de política monetaria (Pase 7 días),TNA; %,2017-06-30,25.8
Tipo de cambio nominal,$/USD,2017-06-30,16.1
Tipo de cambio nominal,$/USD,2017-07-31,16.5
Tasa de política monetaria (Pase 7 días),TNA; %,2017-07-31,25.5
Precios minoristas (IPC nivel general; INDEC),var. % mensual,2017-07-31,1.5
Precios minoristas (IPC núcleo-GBA; INDEC),var. % mensual,2017-07-31,1.4
Precios minoristas (IPC nivel general-GBA; INDEC),var. % mensual,2017-07-31,1.5
Precios minoristas (IPC nivel general-GBA; INDEC),var. % mensual,2017-08-31,1.5
Precios minoristas (IPC núcleo-GBA; INDEC),var. % mensual,2017-08-31,1.4
Precios minoristas (IPC nivel general; INDEC),var. % mensual,2017-08-31,1.5
Precios minoristas (IPC núcleo; INDEC),var. % mensual,2017-08-31,1.5
Tasa de política monetaria (Pase 7 días),TNA; %,2017-08-31,26.3
Tipo de cambio nominal,$/USD,2017-08-31,17.8
Tipo de cambio nominal,$/USD,2017-09-30,17.5
Tasa de política monetaria (Pase 7 días),TNA; %,2017-09-30,26.3
Precios minoristas (IPC núcleo; INDEC),var. % mensual,2017-09-30,1.3
Precios minoristas (IPC núcleo-GBA; INDEC),var. % mensual,2017-09-30,1.3
Precios minoristas (IPC nivel general-GBA; INDEC),var. % mensual,2017-09-30,1.3
Precios minoristas (IPC nivel general; INDEC),var. % mensual,2017-09-30,1.3
Tasa de política monetaria (Pase 7 días),TNA; %,2017-10-31,26.3
Precios minoristas (IPC nivel general-GBA; INDEC),var. % mensual,2017-10-31,1.4
Precios minoristas (IPC núcleo-GBA; INDEC),var. % mensual,2017-10-31,1.3
Precios minoristas (IPC nivel general; INDEC),var. % mensual,2017-10-31,1.4
Precios minoristas (IPC núcleo; INDEC),var. % mensual,2017-10-31,1.3
Tipo de cambio nominal,$/USD,2017-10-31,17.7
Tasa de política monetaria (Pase 7 días),TNA; %,2017-11-30,27.8
Tipo de cambio nominal,$/USD,2017-11-30,17.8
Precios minoristas (IPC núcleo; INDEC),var. % mensual,2017-11-30,1.4
Precios minoristas (IPC nivel general-GBA; INDEC),var. % mensual,2017-11-30,1.6
