fecha,valor
2022-12-31,18848.37
2023-01-31,19254.21
2023-02-28,18760.4
2023-03-31,18946.15
2023-04-30,18853.85
2023-05-31,18352.87
2023-06-30,18000.52
2024-06-30,17993.19
2024-07-31,18012.71
2024-08-31,18357.6
2024-09-30,18561.98
2024-10-31,18339.74
2024-11-30,18010.77
2024-12-31,17868.96
2025-01-31,18002.41
2025-02-28,17923.92
2025-03-31,17968.2
2025-04-30,17930.52
2025-05-31,18107.84
2025-06-30,18171.75
2025-07-31,18087.69
2025-08-31,18262.56
2025-09-30,18285.32
2025-10-31,20795.25
2025-11-30,20908.21
2025-12-31,18623.89
2026-01-31,18706.39
2026-02-28,18954.35
2026-03-31,18867.54
2026-04-30,19042.32
2026-05-31,19216.26
2026-06-30,19153.42
