fecha,Base monetaria,Bienes de capital,Bienes de consumo,Bienes intermedios,Brecha cambiaria (CCL/oficial),Combustibles y energía,Combustibles y lubricantes,Compras netas de divisas del BCRA,Compras netas de divisas: Sector privado,Compras netas de divisas: Tesoro Nacional,Dólar CCL,Dólar MEP,Dólar blue,Dólar oficial,EMAE (actividad económica),"EMAE No urbano (agro, minería y pesca)",EMAE Urbano,EMAE · Administración pública y defensa,"EMAE · Agricultura, ganadería y silvicultura",EMAE · Comercio mayorista y minorista,EMAE · Construcción,"EMAE · Electricidad, gas y agua",EMAE · Enseñanza,EMAE · Explotación de minas y canteras,EMAE · Hoteles y restaurantes,EMAE · Impuestos netos de subsidios,EMAE · Industria manufacturera,EMAE · Inmobiliarias y empresariales,EMAE · Intermediación financiera,EMAE · Otros servicios comunitarios,EMAE · Pesca,EMAE · Servicios sociales y de salud,EMAE · Transporte y comunicaciones,Empleo registrado: Administración pública y defensa,"Empleo registrado: Agricultura, ganadería y silvicultura",Empleo registrado: Comercio mayorista y minorista,Empleo registrado: Construcción,"Empleo registrado: Electricidad, gas y agua",Empleo registrado: Enseñanza,Empleo registrado: Explotación de minas y canteras,Empleo registrado: Hoteles y restaurantes,Empleo registrado: Industria manufacturera,Empleo registrado: Inmobiliarias y empresariales,Empleo registrado: Intermediación financiera,Empleo registrado: Otros servicios comunitarios,Empleo registrado: Pesca,Empleo registrado: Servicios sociales y de salud,Empleo registrado: Transporte y comunicaciones,Exportaciones a Brasil,Exportaciones a Chile,Exportaciones a China,Exportaciones a Estados Unidos,Exportaciones a India,Exportaciones totales,IPC Estacionales (var. mensual),IPC Nacional - Nivel general,IPC Núcleo (var. mensual),IPC Regulados (var. mensual),IPC división: Alimentos y bebidas no alcohólicas,IPC división: Bebidas alcohólicas y tabaco,IPC división: Bienes y servicios varios,IPC división: Comunicación,IPC división: Educación,IPC división: Equipamiento y mantenimiento del hogar,IPC división: Prendas de vestir y calzado,IPC división: Recreación y cultura,IPC división: Restaurantes y hoteles,IPC división: Salud,IPC división: Transporte,"IPC división: Vivienda, agua, electricidad y otros combustibles",IPI manufacturero (industria),Importaciones totales,"Inflación esperada (REM, próximo mes)",Inflación interanual (IPC),Inflación mensual (IPC),M1 (circulante + cta. cte.),M2 (agregado total),M3 (agregado amplio),Manufacturas de origen agropecuario (MOA),Manufacturas de origen industrial (MOI),Morosidad: bancos privados,Morosidad: bancos públicos,Morosidad: sistema financiero,Piezas y accesorios para bienes de capital,Productos primarios,Préstamos a Empresas (Comerciales),Préstamos a Familias (Consumo + Garantía real),Préstamos al sector privado,"Préstamos al sector privado, variación % real mensual",Reservas ajustadas (swap China + organismos internacionales),Reservas internacionales (BCRA),Resto (importaciones por uso),Riesgo país (EMBI),Salario real (deflactado por IPC),Salario real no registrado - sector privado,Salario real registrado - sector privado,Salario real registrado - sector público,Saldo comercial,Tasa BADLAR (mayorista),Tasa de desempleo,Tasa de informalidad laboral (asalariados sin descuento jubilatorio),Tasa de política monetaria,Tipo de cambio real multilateral,Vehículos automotores de pasajeros,Venta de vehículos 0km al mercado interno
2004-01-01,47003.90047669949,507.070979,163.01275,592.404385,,441.656186,58.417359,1428.3388710800002,1628.2726510800003,-199.93378,,,,,92.62750602691052,,,97.26126782495696,65.99535021807492,92.06533783698931,95.9380474530423,99.91798255351932,95.62769506542772,100.7044990358751,108.41168235047203,98.3148555955895,91.45461030871807,91.41838181645646,103.8902559331949,97.00617764220874,42.54786775960567,94.19839355990248,95.50672550581248,,,,,,,,,,,,,,,,428.967818,255.861631,125.439076,231.945441,12.144739,2322.450679,,,,,,,,,,,,,,,,,,1608.575067,,,,33405.13591167097,64071.20516240616,111552.85260988696,858.538257,587.595138,,,,228.114913,434.661098,14926.454371677812,15452.421818644767,30378.876190322582,,,,7.012686,,,,,,713.875612,2.8125,14.276928695265859,48.699999999999996,,159.9526770656531,52.541995,22134.0
2004-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5580.0,,,,,,2.75,,,,160.01208911290698,,
2004-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,160.01343923213625,,
2004-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,160.0147893627573,,
2004-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5459.0,,,,,,2.5,,,,158.8793747534814,,
2004-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5260.0,,,,,,2.4375,,,,158.17828862733705,,
2004-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5192.0,,,,,,1.9375,,,,159.23920038549696,,
2004-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5094.0,,,,,,1.9375,,,,160.05821030850117,,
2004-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5146.0,,,,,,1.75,,,,160.66950400532602,,
2004-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,,,,160.67085967156422,,
