fecha,indicador,bloque,unidad,valor
2018-01-01,Dólar CCL,monetario_financiero,$/USD (venta),18.93
2018-01-02,Dólar CCL,monetario_financiero,$/USD (venta),18.72
2018-01-03,Dólar CCL,monetario_financiero,$/USD (venta),18.38
2018-01-04,Dólar CCL,monetario_financiero,$/USD (venta),18.53
2018-01-05,Dólar CCL,monetario_financiero,$/USD (venta),18.82
2018-01-06,Dólar CCL,monetario_financiero,$/USD (venta),18.82
2018-01-07,Dólar CCL,monetario_financiero,$/USD (venta),18.82
2018-01-08,Dólar CCL,monetario_financiero,$/USD (venta),18.89
2018-01-09,Dólar CCL,monetario_financiero,$/USD (venta),19.12
2018-01-10,Dólar CCL,monetario_financiero,$/USD (venta),18.98
2018-01-11,Dólar CCL,monetario_financiero,$/USD (venta),18.64
2018-01-12,Dólar CCL,monetario_financiero,$/USD (venta),18.83
2018-01-13,Dólar CCL,monetario_financiero,$/USD (venta),18.83
2018-01-14,Dólar CCL,monetario_financiero,$/USD (venta),18.83
2018-01-15,Dólar CCL,monetario_financiero,$/USD (venta),18.83
2018-01-16,Dólar CCL,monetario_financiero,$/USD (venta),18.78
2018-01-17,Dólar CCL,monetario_financiero,$/USD (venta),19.05
2018-01-18,Dólar CCL,monetario_financiero,$/USD (venta),18.94
2018-01-19,Dólar CCL,monetario_financiero,$/USD (venta),18.95
2018-01-20,Dólar CCL,monetario_financiero,$/USD (venta),18.95
2018-01-21,Dólar CCL,monetario_financiero,$/USD (venta),18.95
2018-01-22,Dólar CCL,monetario_financiero,$/USD (venta),19.02
2018-01-23,Dólar CCL,monetario_financiero,$/USD (venta),19.17
2018-01-24,Dólar CCL,monetario_financiero,$/USD (venta),19.38
2018-01-25,Dólar CCL,monetario_financiero,$/USD (venta),19.64
2018-01-26,Dólar CCL,monetario_financiero,$/USD (venta),19.64
2018-01-27,Dólar CCL,monetario_financiero,$/USD (venta),19.64
2018-01-28,Dólar CCL,monetario_financiero,$/USD (venta),19.64
2018-01-29,Dólar CCL,monetario_financiero,$/USD (venta),19.62
2018-01-30,Dólar CCL,monetario_financiero,$/USD (venta),19.62
2018-01-31,Dólar CCL,monetario_financiero,$/USD (venta),19.68
2018-02-01,Dólar CCL,monetario_financiero,$/USD (venta),19.7
2018-02-02,Dólar CCL,monetario_financiero,$/USD (venta),19.49
2018-02-03,Dólar CCL,monetario_financiero,$/USD (venta),19.49
2018-02-04,Dólar CCL,monetario_financiero,$/USD (venta),19.49
2018-02-05,Dólar CCL,monetario_financiero,$/USD (venta),19.51
2018-02-06,Dólar CCL,monetario_financiero,$/USD (venta),19.48
2018-02-07,Dólar CCL,monetario_financiero,$/USD (venta),19.58
2018-02-08,Dólar CCL,monetario_financiero,$/USD (venta),19.7
2018-02-09,Dólar CCL,monetario_financiero,$/USD (venta),20.0
2018-02-10,Dólar CCL,monetario_financiero,$/USD (venta),20.0
2018-02-11,Dólar CCL,monetario_financiero,$/USD (venta),20.0
2018-02-12,Dólar CCL,monetario_financiero,$/USD (venta),20.0
2018-02-13,Dólar CCL,monetario_financiero,$/USD (venta),20.0
2018-02-14,Dólar CCL,monetario_financiero,$/USD (venta),20.03
2018-02-15,Dólar CCL,monetario_financiero,$/USD (venta),20.15
2018-02-16,Dólar CCL,monetario_financiero,$/USD (venta),20.03
2018-02-17,Dólar CCL,monetario_financiero,$/USD (venta),20.03
2018-02-18,Dólar CCL,monetario_financiero,$/USD (venta),20.03
2018-02-19,Dólar CCL,monetario_financiero,$/USD (venta),20.03
2018-02-20,Dólar CCL,monetario_financiero,$/USD (venta),20.11
2018-02-21,Dólar CCL,monetario_financiero,$/USD (venta),19.98
2018-02-22,Dólar CCL,monetario_financiero,$/USD (venta),20.01
2018-02-23,Dólar CCL,monetario_financiero,$/USD (venta),20.06
2018-02-24,Dólar CCL,monetario_financiero,$/USD (venta),20.06
